Alpha,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.0048828125,0.0048828125,0.00244140625
Chain,0.48999999999999994,0.35,0.14,0.24000000000000005,0.16000000000000003,0.21000000000000002,0.04,0.02,0.04,0.04,0.01,0.0,0.0,0.01,0.0,0.01,0.02,0.0
Open Addressing, 2.21, 0.64, 0.36, 0.13, 0.06999999999999999, 0.10999999999999999, 0.04, 0.04, 0.01, 0.01, 0.01, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 0.0
